Sl No.,Links,,,,,,,,,,,,,,Category,,,Text Generated 
240,https://www.aljazeera.com/news/2025/1/18/palestinian-authority-says-ready-to-govern-gaza-after-ceasefire,,,,,,,,,,,,,,International Affairs,,,"The Palestinian Authority has declared its readiness to take over governance in Gaza once a ceasefire is in place. It is preparing to assume control of key institutions, and the move signals an effort to restore stability in the region. However, the development hinges on the terms of the ceasefire and the cooperation of all involved parties. For further details, you can read the full article here."
241,https://www.aljazeera.com/news/2025/1/18/iran-russia-analysis-syria-setback,,,,,,,,,,,,,,Politics,,,"The article discusses the shifting dynamics between Iran and Russia, particularly in Syria, where recent developments have posed setbacks for both nations' strategies. Challenges to their military and diplomatic influence are highlighted, alongside the broader regional implications. For further details, you can read the full analysis here."
242,https://www.aljazeera.com/news/2025/1/18/israel-gaza-ceasefire-deal-which-palestinian-prisoners-will-be-released,,,,,,,,,,,,,,Courts & Crime,,,"The article discusses the upcoming release of Palestinian prisoners under the ceasefire agreement between Israel and Gaza. It focuses on which prisoners will be freed, shedding light on the ongoing negotiations and the broader implications for the region. The full details of the agreement and the identities of the prisoners involved can be found in the article here."
243,https://www.aljazeera.com/news/2025/1/17/israeli-cabinet-approves-gaza-ceasefire-deal,,,,,,,,,,,,,,International Affairs,,,"The Israeli cabinet has approved a ceasefire agreement with Gaza, marking a significant step toward ending the ongoing conflict. The deal outlines conditions for halting hostilities and includes provisions for humanitarian assistance and the release of prisoners. This agreement is part of broader negotiations aimed at bringing lasting peace to the region. For more details, refer to the full article here."
244,https://www.aljazeera.com/news/2025/1/17/former-cia-employee-pleads-guilty-to-leaking-files-on-israels-iran-strikes,,,,,,,,,,,,,,Courts & Crime,,,"A former CIA employee has pleaded guilty to leaking sensitive files related to Israel's military strikes against Iran. The leaked information had significant security implications, and the employee's actions have led to legal consequences. The case highlights ongoing concerns about national security and intelligence breaches. For more information, you can read the full article here."
245,https://www.aljazeera.com/news/2025/1/17/israel-made-no-real-effort-to-probe-gaza-crimes-says-icc-prosecutor,,,,,,,,,,,,,,International Affairs,,,"The ICC prosecutor has stated that Israel has made little effort to investigate crimes committed in Gaza, despite evidence suggesting potential violations of international law. The comments come amid ongoing tensions surrounding the conflict. For further details, you can read the full article here."
246,https://www.aljazeera.com/news/2025/1/17/gaza-atrocities-will-haunt-antony-blinken-says-former-us-diplomat,,,,,,,,,,,,,,International Affairs,,,"A former US diplomat warns that the Gaza atrocities will leave a lasting impact on Secretary of State Antony Blinken. The diplomat suggests that Blinken will be haunted by his role in the events. The remarks highlight the ongoing scrutiny of US involvement in the Israel-Gaza conflict. For further details, you can read the full article here."
247,https://www.aljazeera.com/news/2025/1/17/what-has-netanyahu-won-and-lost-by-agreeing-to-israel-gaza-ceasefire,,,,,,,,,,,,,,International Affairs,,,"Israeli Prime Minister Benjamin Netanyahu’s agreement to a Gaza ceasefire has generated both victories and losses for him. On one hand, the ceasefire appeases international pressure, while on the other, it has left him facing criticism from hardline supporters and detractors who view it as a compromise. The deal’s long-term implications remain uncertain, impacting Netanyahu’s political future. For further details, you can read the full article here."
248,https://www.aljazeera.com/news/2025/1/16/israel-hamas-ceasefire-whats-left-of-gaza-and-its-people,,,,,,,,,,,,,,International Affairs,,,"The article discusses the impact of the Israel-Hamas ceasefire on Gaza, exploring the destruction of infrastructure and loss of life. It emphasizes the severe toll the conflict has taken on the region, particularly focusing on the humanitarian crisis. The piece also delves into the implications for both the Gaza Strip and its residents, highlighting the extensive damage and future challenges following the ceasefire."
249,https://www.aljazeera.com/economy/2025/1/17/cnn-found-guilty-for-defaming-us-navy-veteran-evacuating-afghans-for-a-fee,,,,,,,,,,,,,,Courts & Crime,,,"The article details a legal case where CNN was found guilty of defaming a U.S. Navy veteran. The veteran was accused by CNN of charging a fee for evacuating Afghans during the 2021 withdrawal, a claim that was later ruled to be false. The court sided with the veteran, stating that the network's reporting harmed his reputation. For more information, please visit the full article here."
250,https://www.aljazeera.com/gallery/2025/1/17/more-than-100-people-killed-in-gaza-since-truce-deal,,,,,,,,,,,,,,International Affairs,,,"The article reports that more than 100 people have been killed in Gaza since the truce deal, despite international efforts for peace. The violence continued following the truce, with many casualties reported due to ongoing military actions. The situation remains tense and dangerous for civilians in Gaza. For further details, you can read the full article here."
251,https://www.aljazeera.com/sports/2025/1/16/frankfurts-omar-marmoush-a-manchester-city-transfer-target-all-to-know,,,,,,,,,,,,,,Sports,,,"The article highlights that Omar Marmoush, a talented forward from Eintracht Frankfurt, has become a transfer target for Manchester City. Marmoush, known for his pace and technical skills, is attracting attention from top European clubs, and City may consider him as a potential signing. For more details, including his playing style and career progression, visit the full article here."
252,https://www.aljazeera.com/news/2025/1/16/israel-and-hamas-reach-gaza-ceasefire-deal-what-are-the-next-steps,,,,,,,,,,,,,,International Affairs,,,"The article discusses the recent ceasefire deal between Israel and Hamas, aiming to bring peace to Gaza. The next steps involve monitoring the agreement's implementation, ensuring humanitarian aid reaches Gaza, and addressing underlying tensions that could threaten long-term peace. It also touches on the complexities of the region’s political landscape. For further details, you can read the full article here."
253,https://www.aljazeera.com/sports/2025/1/16/teary-ons-jabeur-struggles-with-asthma-flare-up-at-australian-open,,,,,,,,,,,,,,Sports,,,"The article discusses Ons Jabeur's emotional struggle during her Australian Open match, as she faced an asthma flare-up. Despite her efforts, she was visibly teary and struggled with the physical challenges, which impacted her performance. Jabeur's health condition became a central topic, with many expressing support for the Tunisian tennis star. For more details, you can read the full article here."
254,https://www.aljazeera.com/news/2025/1/18/two-iranian-supreme-court-justices-killed-in-shooting-attack-in-tehran,,,,,,,,,,,,,,Courts & Crime,,,"The article reports that two Iranian Supreme Court justices were killed in a shooting attack in Tehran on January 18, 2025. This attack has raised concerns about the security situation in the country, with authorities investigating the motives behind the killing. For further details, you can read the full article here."
255,https://www.aljazeera.com/sports/2025/1/18/pretty-crazy-tien-youngest-since-nadal-into-australian-open-last-16,,,,,,,,,,,,,,Sports,,,"The article highlights that Tien, a young tennis player, has become the youngest player since Rafael Nadal to reach the Australian Open's last 16. His impressive performance has captured attention, as he continues to make waves in the tournament. For further details, check out the full article here."
256,https://www.aljazeera.com/sports/2025/1/18/man-utd-vs-brighton-preview-kickoff-time-team-news-how-to-follow-stream,,,,,,,,,,,,,,Sports,,,"The article provides a preview of the upcoming match between Manchester United and Brighton, including details on the kickoff time, team news, and how to follow the game via streaming. It also covers key players to watch and offers insight into the teams' form ahead of the match. For more information, check the full article here."
257,https://www.aljazeera.com/news/2025/1/17/la-wildfires-day-11-what-is-the-latest-and-what-do-investigations-show,,,,,,,,,,,,,,Environment,,,"The article covers the latest developments in the ongoing wildfires in Los Angeles, which have now entered day 11. It examines the fire's impact, ongoing evacuation efforts, and investigations into its causes. The situation remains critical as firefighters continue to battle the flames. For more information, you can read the full article here."
258,https://www.aljazeera.com/news/longform/2025/1/18/the-womens-march-faced-controversy-and-division-will-a-rebrand-be-enough,,,,,,,,,,,,,,Society,,,"The article explores the Women's March, discussing the controversies and divisions it faced over the years. It examines the challenges the movement has encountered and questions whether a rebranding will be enough to regain its influence and unity. The analysis delves into the broader context of women's activism and how the march fits into ongoing social movements. For more, check the full article here."
259,https://www.aljazeera.com/news/2025/1/18/what-is-dreams-on-a-pillow-the-palestinian-game-about-the-nakba,,,,,,,,,,,,,,Science,,,"The article explores ""Dreams on a Pillow,"" a Palestinian game inspired by the Nakba, the 1948 displacement of Palestinians. It highlights how the game serves as a form of cultural expression and remembrance, engaging players in the history of their people. The game reflects on themes of loss, resistance, and resilience while offering a creative way for younger generations to connect with their history. For more information, you can read the full article here."
260,https://www.aljazeera.com/news/2025/1/16/key-to-space-ambitions-india-succeeds-in-historic-space-docking-mission,,,,,,,,,,,,,,Science,,,"India successfully completed a historic space docking mission, marking a significant milestone in its space ambitions. This achievement is a key step for the country's space program, paving the way for future missions. The docking showcased India's growing capabilities in space technology and exploration. For further details, you can read the full article here."
261,https://www.aljazeera.com/news/2025/1/17/russia-hands-jail-sentences-to-three-alexey-navalny-lawyers,,,,,,,,,,,,,,Politics,,,"Russia has sentenced three lawyers who represented opposition leader Alexey Navalny to prison terms. This move has raised concerns about the ongoing crackdown on legal professionals and human rights defenders in Russia. The sentences come amid increasing efforts by the Russian government to silence opposition voices. For more details, you can read the full article here."
262,https://www.aljazeera.com/economy/2025/1/13/biden-administration-proposes-new-rules-to-tighten-grip-on-ai-chip-flows,,,,,,,,,,,,,,Science,,,"The Biden administration has proposed new regulations to tighten control over the export of AI chips, aiming to limit their use in military applications, particularly by adversaries like China. The proposed rules would impact the global flow of semiconductor technology, marking a significant step in U.S. efforts to maintain technological and security advantages. For more details, you can read the full article here."
263,https://www.aljazeera.com/news/2025/1/10/meta-facebook-to-drop-fact-checkers-what-does-this-mean-for-social-media,,,,,,,,,,,,,,Science,,,"Meta (formerly Facebook) has decided to drop its third-party fact-checking partners, raising concerns about how misinformation will be handled on its platforms. The move is seen as part of a broader shift towards self-regulation and prioritizing user-generated content. Critics worry this could lead to more unverified information spreading across social media. For more details, you can read the full article here."
264,https://www.aljazeera.com/news/2025/1/6/us-reports-first-death-linked-to-bird-flu-in-louisiana,,,,,,,,,,,,,,Science,,,"The U.S. has reported its first death linked to bird flu in Louisiana. The individual was infected by a strain of avian influenza that is spreading among wild birds and domestic poultry. The case raises concerns about the potential for further human infections. Health officials are closely monitoring the situation. For more details, read the full article here."
265,https://www.aljazeera.com/sports/2025/1/17/brentford-vs-liverpool-preview-premier-league-team-news-how-to-follow,,,,,,,,,,,,,,Sports,,,"The article previews the upcoming Premier League match between Brentford and Liverpool, covering key team news and providing details on how to follow the game. It highlights important players to watch and offers insights into the teams' current form. For more information, check the full preview here."
266,https://www.aljazeera.com/news/liveblog/2025/1/18/live-israeli-cabinet-agrees-on-gaza-ceasefire-as-military-pounds-enclave,,,,,,,,,,,,,,International Affairs,,,"The Israeli Cabinet has agreed to a ceasefire in Gaza as military operations continue to impact the enclave. The situation remains fluid, with ongoing tensions and uncertainty about the future of the ceasefire. For further updates on this developing story, you can follow the live blog here."
267,https://www.aljazeera.com/news/longform/2024/12/30/how-the-world-voted-in-2024,,,,,,,,,,,,,,Politics,,,"The article provides an analysis of global voting trends in 2024, examining how different nations approached key elections and the factors that influenced their decisions. It highlights significant political shifts and patterns in the voting behavior of citizens worldwide. For more details, you can read the full article here."
268,https://www.aljazeera.com/economy/2025/1/16/trump-will-keep-tiktok-from-going-dark-adviser-says,,,,,,,,,,,,,,Economy,,,"An advisor to Donald Trump stated that he would take steps to prevent TikTok from being banned or ""going dark."" This statement adds to ongoing discussions about the app's potential removal in the U.S. due to security concerns. The situation remains tense as Trump and other officials continue to weigh actions against the app. For more details, you can read the full article here."
269,https://www.aljazeera.com/economy/2025/1/15/us-bans-dye-red-no-3-from-foods-saying-it-causes-cancer-in-lab-rats,,,,,,,,,,,,,,Economy,,,"The U.S. has banned the use of Red No. 3, a dye commonly found in food products, after studies showed that it caused cancer in lab rats. This ban marks a significant step in the country's efforts to ensure food safety and protect consumers from potentially harmful substances. For further details, you can read the full article here."
270,https://www.aljazeera.com/economy/2025/1/14/how-the-trump-administration-threatens-internet-freedoms,,,,,,,,,,,,,,Economy,,,"The article discusses how policies from the Trump administration may have threatened internet freedoms, particularly in relation to regulation and access. It highlights concerns over actions that could limit online speech, privacy, and open access, which might negatively impact democratic principles. For more information, check out the full article here."
271,https://www.aljazeera.com/news/2025/1/14/france-new-pm-announces-renegotiation-of-contested-pension-reforms,,,,,,,,,,,,,,Economy,,,"France's new Prime Minister has announced plans to renegotiate controversial pension reforms, aiming to address public concerns and protests. The changes had sparked widespread opposition, with many fearing negative impacts on workers' rights. The government is seeking a compromise to move forward with the reforms in a way that balances the needs of the economy and public opinion. For more details, you can read the full article here."
272,https://www.aljazeera.com/features/2025/1/17/symbol-of-resistance-lumumba-the-congolese-hero-killed-before-his-prime,,,,,,,,,,,,,,Society,,,"The article examines the life and legacy of Patrice Lumumba, a Congolese hero and symbol of resistance. Lumumba, who became the first prime minister of the Democratic Republic of the Congo, was tragically assassinated before reaching his full potential. His death continues to symbolize the struggles for independence and justice in Africa. For more information, you can read the full article here."
273,https://www.aljazeera.com/news/longform/2025/1/8/forgotten-how-one-mexican-city-struggles-against-big-industry-for-water,,,,,,,,,,,,,,Society,,,"The article discusses the struggles of a Mexican city fighting against large industries for access to water. Local residents are facing severe water shortages, exacerbated by corporate practices that prioritize industrial use over public needs. This ongoing conflict highlights broader issues of water rights, inequality, and environmental justice. For more, read the full article here."
274,https://www.aljazeera.com/news/2025/1/7/us-transfers-eleven-yemeni-detainees-from-guantanamo-bay-prison-to-oman,,,,,,,,,,,,,,International Affairs,,,"The U.S. has transferred 11 Yemeni detainees from Guantanamo Bay to Oman, marking a significant step in the ongoing closure process of the detention facility. The transfer is part of the U.S.'s efforts to reduce the number of detainees held at the prison. The detainees were not charged with any crimes but had been held for years without trial. For more information, you can read the full article here."
275,https://www.aljazeera.com/program/reframe/2025/1/18/doctors-on-the-front-lines-in-gaza-dr-victoria-rose-fatima-bhutto,,,,,,,,,,,,,,Health,,,"The program ""Doctors on the Front Lines in Gaza"" features Dr. Victoria Rose and Fatima Bhutto, shedding light on the critical medical situation in Gaza. Doctors and healthcare workers are navigating extreme challenges while trying to provide care amidst ongoing conflict. The episode provides insight into the healthcare crisis and the resilience of those working in the region. For more details, you can watch the full segment here."
276,https://www.aljazeera.com/economy/2025/1/13/biden-administration-proposes-new-rules-to-tighten-grip-on-ai-chip-flows,,,,,,,,,,,,,,Science,,,"The Biden administration has proposed new rules to control the export of AI chips, aiming to prevent their use in military applications, especially by adversaries like China. These changes reflect concerns over national security and technological dominance. For more information, you can read the full article here."
277,https://www.aljazeera.com/podcasts/2024/12/16/the-take-what-is-the-environmental-cost-of-ai-search,,,,,,,,,,,,,,Science,,,"The podcast episode explores the environmental impact of AI, particularly the energy consumption associated with search technologies and large-scale data processing. It delves into how AI's growing demands for computing power contribute to carbon emissions and the broader ecological footprint. For a deeper dive into the topic, you can listen to the full episode here."
278,https://www.aljazeera.com/news/2024/12/14/could-eating-dark-chocolate-reduce-the-risk-of-diabetes,,,,,,,,,,,,,,Science,,,"The article explores the potential health benefits of dark chocolate, particularly its role in reducing the risk of diabetes. Dark chocolate, rich in antioxidants and certain compounds, may help improve insulin sensitivity and reduce inflammation, which are key factors in managing diabetes. However, the full extent of its benefits requires further research. For more details, you can read the full article here."
279,https://www.aljazeera.com/news/2024/12/12/why-are-mysterious-drones-flying-over-new-jersey,,,,,,,,,,,,,,Science,,,"Mysterious drone sightings over New Jersey have raised concerns among local residents and authorities. These drones, often flying at night, have been spotted in unusual patterns, prompting investigations into their purpose. While some speculate they could be linked to military or surveillance operations, the true intent remains unclear. For more details, you can read the full article here."
280,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2025-schedule-season-to-begin-on-march-21-in-kolkata-final-set-for-may-25/articleshow/117186738.cms,,,,,,,,,,,,,,Sports,,,"The 18th season of the Indian Premier League (IPL) is set to commence on March 21, 2025, at Kolkata's Eden Gardens, with the final scheduled for May 25 at the same venue. This adjustment was made to avoid overlap with the ICC Champions Trophy final, which is slated for March 9, 2025. The Kolkata Knight Riders, as the defending champions, will host both the opening match and the final. Additionally, the Sunrisers Hyderabad, last season's runners-up, are set to host two playoff games. The complete schedule is expected to be released by the Board of Control for Cricket in India (BCCI) in the coming weeks."
281,https://timesofindia.indiatimes.com/entertainment/english/music/news/coldplays-chris-martin-nails-diljit-dosanjhs-punjabi-phrase-ahead-of-mumbai-concert-crowd-goes-wild-as-singer-says-punjabi-aa-gaye-oye/articleshow/117138762.cms,,,,,,,,,,,,,,Entertainment,,,"Coldplay frontman Chris Martin won the hearts of Indian fans by reading a sign featuring Punjabi singer Diljit Dosanjh's famous catchphrase, ""Punjabi Aa Gaye Oye,"" during a recent performance in Abu Dhabi. In preparation for their concerts in India, Martin and actress Dakota Johnson visited Mumbai's Shri Babulnath Temple and participated in traditional rituals.Coldplay is set to perform in Mumbai on January 18, 19, and 21 and in Ahmedabad on January 25 and 26. The final concert will also be livestreamed on Disney+ Hotstar. Ticket demand has been overwhelming, with millions attempting to buy a limited number of tickets, leading to high secondary market prices and investigations into ticket fraud. This reflects India's growing enthusiasm for live international entertainment, making it a key destination for global artists."
282,https://timesofindia.indiatimes.com/education/news/trump-plans-to-dismantle-the-us-department-of-education-what-it-means-for-special-needs-students/articleshow/117206103.cms,,,,,,,,,,,,,,Education,,,"President-elect Donald Trump's proposal to dismantle the U.S. Department of Education has sparked concerns about its impact on special education. The department provides over $15 billion annually under the Individuals with Disabilities Education Act (IDEA), supporting vital services for 7.3 million students with disabilities. It also ensures compliance with federal civil rights mandates. Eliminating the department could reduce oversight, worsen disparities in education quality, and leave states struggling to meet IDEA standards, creating inconsistent support for students with disabilities nationwide."
283,https://timesofindia.indiatimes.com/business/india-business/budget-2025-raise-income-tax-exempt-limit-to-rs-10-lakh-rss-unions-tell-fm-sitharaman/articleshow/117014377.cms,,,,,,,,,,,,,,Business,,,"Finance Minister Nirmala Sitharaman will present the Union Budget 2025 on February 1. Key proposals include reducing income tax rates, raising the tax exemption limit to ₹10 lakh, increasing capital expenditure by 15%, and extending MGNREGA workdays to 200 annually. The focus is on tax reforms, investments, and social welfare."
284,https://timesofindia.indiatimes.com/web-series/news/english/netflix-universal-and-other-major-entertainment-firms-announce-million-dollar-donations-amid-california-wildfires/articleshow/117237797.cms,,,,,,,,,,,,,,Entertainment,,,"The Pacific Palisades wildfire in Los Angeles has resulted in significant loss of life and property. The fires have claimed at least 27 lives and destroyed over 12,300 structures. In response, major entertainment companies have pledged substantial donations to aid relief efforts. Netflix and Comcast have each committed $10 million, while The Walt Disney Company has announced a $15 million contribution. These funds are directed towards organizations such as the American Red Cross, the Los Angeles Fire Department Foundation, and World Central Kitchen. Additionally, celebrities like Beyoncé have contributed significantly, with her charitable foundation, BeyGOOD, launching the LA Fire Relief Fund."
285,https://timesofindia.indiatimes.com/world/rest-of-world/ukraine-war-north-korean-troops-blowing-themselves-up-in-chilling-battlefield-tactics/articleshow/117255761.cms,,,,,,,,,,,,,,International Affairs,,,"In Russia's snow-covered Kursk region, Ukrainian special forces encountered deceased North Korean soldiers following a battle. As they approached a wounded survivor, he detonated a grenade, resulting in his death. Reports indicate that approximately 11,000 North Korean troops are supporting Russia in the conflict, with over 3,000 casualties reported. This significant involvement has drawn international scrutiny, as it marks North Korea's most substantial participation in a foreign war since the Korean War."
286,https://timesofindia.indiatimes.com/entertainment/hindi/music/news/sonu-nigams-version-of-mere-dholna-3-0-from-bhool-bhulaiyaa-3-receives-rave-reviews-from-fans/articleshow/114953091.cms,,,,,,,,,,,,,,Entertainment,,,"The producers of 'Bhool Bhulaiyaa 3' have released the much-anticipated song 'Mere Dholna 3.0,' featuring vocals by Sonu Nigam. The song's release was prompted by the film's success and audience demand. 'Bhool Bhulaiyaa 3,' directed by Anees Bazmee and starring Kartik Aaryan, Triptii Dimri, Vidya Balan, and Madhuri Dixit, has crossed the ₹100 crore mark at the box office in its opening weekend."
287,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/box-office/pushpa-2-box-office-collection-day-41-allu-arjun-and-rashmika-mandannas-action-drama-tries-to-maintain-its-magic-in-6th-week/articleshow/117249430.cms,,,,,,,,,,,,,,Entertainment,,,"Allu Arjun's film Pushpa 2: The Rule has had a strong box office run, grossing approximately ₹1,223 crore in India as of January 14, 2025, with ₹1.5 crore earned that day. Despite facing competition from new releases like Baby John and Mufasa: The Lion King, the film has retained its popularity, although Game Changer is starting to overshadow its success. Directed by Sukumar, the film stars Allu Arjun and Rashmika Mandanna and has been praised for its engaging story and performances, further cementing Allu Arjun's position as a leading actor in Indian cinema. Overall, Pushpa 2 has set new records in both box office performance and audience reception."
288,https://timesofindia.indiatimes.com/toi-plus/politics/for-the-other-half-reserve-50-of-govt-jobs/articleshow/116998380.cms,,,,,,,,,,,,,,Politics,,,"India's gender gap in workforce participation is significant, with women contributing less than 20% to the country's GDP, despite making up 48.4% of the population. The 2024 Global Gender Gap Report ranks India 142nd out of 146 countries for economic participation and 129th overall. To address this, a progressive reservation policy advocating for 50% representation of women in all central and state government jobs is proposed. This could drive gender equality and contribute to economic growth, as studies suggest closing the gender gap could boost India's GDP by up to 60%."
289,https://timesofindia.indiatimes.com/city/thiruvananthapuram/baseless-and-malicious-charges-sasi/articleshow/117210807.cms,,,,,,,,,,,,,,Politics,,,"Chief Minister's political secretary P. Sasi has dismissed allegations made by former MLA P.V. Anvar as baseless and malicious. Sasi refuted claims that he instructed Anvar to raise corruption allegations against opposition leader V.D. Satheesan, describing Anvar's press conference as a conspiracy to seek new political support. He accused Anvar of attempting to shift blame for his past actions and stated his intention to pursue legal action against the allegations."
290,https://timesofindia.indiatimes.com/sports/cricket/news/smriti-mandhana-breaks-record-smashes-fastest-odi-century-by-an-indian-woman/articleshow/117259192.cms,,,,,,,,,,,,,,Sports,,,"Smriti Mandhana, the captain of the Indian women's cricket team, made history by setting the record for the fastest ODI century by an Indian woman, scoring 100 runs in just 70 balls during a match against Ireland on January 15, 2025. This achievement surpassed Harmanpreet Kaur's previous record of 87 balls. Mandhana's remarkable knock of 135 runs off 80 balls, including seven sixes and 12 fours, helped India secure a dominant position in the match. Under her leadership, India has had back-to-back 3-0 series victories over the West Indies and Ireland, building strong momentum ahead of the 2025 Women's ODI World Cup. Mandhana's performance continues to elevate the profile of women's cricket both in India and internationally.






"
291,https://timesofindia.indiatimes.com/sports/badminton/india-open-pv-sindhu-makes-winning-return-satwik-and-chirag-survive-tough-test/articleshow/117252145.cms,,,,,,,,,,,,,,Sports,,,"PV Sindhu made a strong comeback at the India Open Super 750 tournament, defeating Chinese Taipei's Sung Shuo Yun in straight sets (21-14, 22-20) in the first round. This victory marked her return to competitive badminton after her marriage in December 2024, with her husband, Venkata Datta Sai, cheering her on. Sindhu made strategic adjustments during the match, guided by her new coach, Irwansyah Adi Pratama.In other results, Satwiksairaj Rankireddy and Chirag Shetty advanced to the second round in men's doubles, while Kiran George also progressed after a thrilling win. However, women's doubles pair Treesa Jolly and Gayatri Gopichand were eliminated. These performances showcase India's strong start at the India Open."
292,https://timesofindia.indiatimes.com/sports/cricket/news/rishabh-pant-to-play-against-saurashtra-in-ranji-trophy/articleshow/117251128.cms,,,,,,,,,,,,,,Sports,,,"Rishabh Pant, India's wicketkeeper-batsman, has expressed his readiness to play for Delhi in the upcoming Ranji Trophy match against Saurashtra, set to begin on January 23, 2025. This marks his first first-class domestic appearance since leading Delhi to the Ranji Trophy final in 2017. Despite recovering from bruises sustained during India's recent tour of Australia, Pant has taken the initiative to stay involved with the game, maintaining his match fitness. His decision reflects his commitment to both domestic cricket and his role in India's international team."
293,https://timesofindia.indiatimes.com/sports/football/top-stories/premier-league-liverpool-frustrated-by-nottingham-forest-manchester-city-blow-late-lead-at-brentford/articleshow/117250716.cms,,,,,,,,,,,,,,Sports,,,"Liverpool's Premier League title hopes were slowed by a 1-1 draw with Nottingham Forest. Chris Wood gave Forest an early lead, but Diogo Jota equalized for Liverpool with his first touch as a substitute. Despite dominating possession, Liverpool couldn't break Forest's defense, and goalkeeper Matz Sels made key saves to preserve the draw.In another match, Manchester City were held to a 2-2 draw at Brentford. Despite taking a 2-0 lead with goals from Phil Foden, City allowed Brentford to come back with goals from Yoane Wissa and Christian Nørgaard. This result dented City's title charge, while Liverpool maintained their lead at the top of the table."
294,https://timesofindia.indiatimes.com/city/lucknow/kumbhs-amrit-snan-tops-social-media-trends/articleshow/117246530.cms,,,,,,,,,,,,,,Society,,,"On the second day of the Maha Kumbh in Prayagraj, the #Mahakumbh_Amrit_Snaan hashtag became the top trend on social media platform X during the first Amrit Snaan on Makar Sankranti. Thousands of users shared videos, photos, and updates, discussing the significance of the event, the arrangements made by the Yogi government, the massive turnout, and the sacred Sangam Snan. Chief Minister Yogi Adityanath also joined the conversation, further boosting the hashtag's visibility, leading it to trend at number one."
295,https://timesofindia.indiatimes.com/city/bareilly/7-of-family-booked-for-killingpregnant-woman-for-dowry/articleshow/117240673.cms,,,,,,,,,,,,,,Courts & Crime,,,"Seven members of a family in Lakhimpur Kheri, Uttar Pradesh, have been booked for the dowry-related death of a 22-year-old woman, Priyanka Devi, who was two months pregnant. The incident occurred on December 13, 2024, when Priyanka was found dead under suspicious circumstances. Priyanka had reportedly been subjected to physical and mental abuse by her husband and in-laws, who demanded additional dowry after the marriage. Despite returning to her parental home, she went back to her husband's house, where she was found dead. The autopsy revealed she died by hanging. The family members have been charged under various sections of the IPC and Dowry Prohibition Act, and investigations are ongoing."
296,https://timesofindia.indiatimes.com/city/mumbai/schizophrenic-woman-kills-son-10-with-phone-charger-cord-in-bandra-home/articleshow/117129377.cms,,,,,,,,,,,,,,Courts & Crime,,,"A 36-year-old woman with schizophrenia allegedly killed her 10-year-old son by strangling him with a mobile phone charging cord at their home in Bandra, Mumbai, on Thursday evening. The woman, who had been undergoing treatment for schizophrenia for 18 months, was arrested on Friday and charged with murder. At the police station, she appeared agitated and repeatedly inquired about her son, seemingly unaware of her actions. The incident occurred while she was at home with her son and her 14-year-old daughter, who alerted their father, leading to the discovery of the boy's unresponsive body. The investigation is ongoing."
297,https://timesofindia.indiatimes.com/city/meerut/2-bodies-found-on-nh-9-in-hapurin-past-72hrs-one-partially-burnt/articleshow/117244159.cms,,,,,,,,,,,,,,Courts & Crime,,,"In Meerut, Uttar Pradesh, police have recovered two unidentified bodies of middle-aged men found within 72 hours along National Highway-9 (NH-9). The first body, discovered on Saturday, was partially burnt, with injuries suggesting foul play and an attempt to conceal the identity. The second body, found on Monday evening in Hapur's Babugarh area, showed signs of murder, including partially removed clothing. Authorities are investigating the cases, with a focus on identifying the victims. NH-9 has been a recurring site for body disposal due to its extensive reach and lack of surveillance."
298,https://timesofindia.indiatimes.com/world/us/hammer-wielding-masked-teens-wreak-havoc-in-queens-resident-stabbed-in-violent-heist/articleshow/117131176.cms,,,,,,,,,,,,,,Courts & Crime,,,"A group of nine masked teenagers is suspected of carrying out two home invasions in Queens, New York. In the first incident, they attacked a 37-year-old man, bludgeoning him with a hammer and stabbing him in the back, before stealing jewelry and clothing. The victim was hospitalized and is now in stable condition. In the second incident, they stole approximately $25,000 in cash and a bracelet from a home. The NYPD has released surveillance footage and is seeking public assistance to identify the suspects. "
299,https://timesofindia.indiatimes.com/world/rest-of-world/martial-law-is-not-a-crime-south-koreas-impeached-president-yoon-suk-yeol-after-arrest/articleshow/117257434.cms,,,,,,,,,,,,,,International Affairs,,,"South Korea's impeached President Yoon Suk Yeol is facing legal challenges after being arrested on charges related to his attempted imposition of martial law in December 2024. On January 18, 2025, Yoon appeared in court to contest the arrest request, with his legal team arguing that his actions were within his presidential authority. The court has not yet ruled on the arrest.Yoon's supporters have organized rallies in his favor, using slogans similar to former U.S. President Donald Trump's ""Make Korea Great Again."" These rallies have intensified political polarization in the country. Yoon has vowed to fight the impeachment, asserting that his actions were justified.The Constitutional Court will soon decide Yoon's fate, with severe penalties, including life imprisonment or death, if he is convicted."
300,https://timesofindia.indiatimes.com/world/us/when-trump-said-he-could-lose-this-election-yeah-bad-things-happen/articleshow/114957764.cms,,,,,,,,,,,,,,International Affairs,,,"ABC News Chief Washington Correspondent Jonathan Karl revealed that during a phone conversation with former President Donald Trump, Trump acknowledged the possibility of losing the election, stating, ""Yeah, I guess, you know... Bad things could happen."" Karl also noted that the Trump campaign's internal communications, such as the ""Donald J. Trump Administrative Update"" from co-campaign manager Susie Wiles, used phrases like ""should we be victorious"" and ""regardless of the outcome of the election,"" indicating an awareness of the election's uncertain outcome. These insights highlight the campaign's preparedness for both victory and defeat, reflecting the tight race and the potential for unexpected outcomes."
